# LPT appendix p.146 (pdf_page: 159); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,2.695176,15.657798,0.030556
suction,2.696574,15.658738,0.018183
suction,2.703170,15.663172,0.005333
suction,2.714975,15.671089,-0.007896
suction,2.732002,15.682474,-0.021345
suction,2.754276,15.697303,-0.034793
suction,2.781824,15.715543,-0.047959
suction,2.814679,15.737152,-0.060497
suction,2.852882,15.762079,-0.072010
suction,2.896477,15.790265,-0.082048
suction,2.945512,15.821638,-0.090106
suction,3.000044,15.856117,-0.095633
suction,3.014307,15.865064,-0.096537
suction,3.014307,15.865064,-0.096537
suction,3.071924,15.900903,-0.097962
suction,3.130124,15.936614,-0.095757
suction,3.188708,15.972061,-0.089890
suction,3.247524,16.007145,-0.080351
suction,3.306421,16.041773,-0.067124
suction,3.365245,16.075771,-0.050206
suction,3.423842,16.109067,-0.029634
suction,3.482073,16.141716,-0.005424
suction,3.539831,16.173669,0.022349
suction,3.597011,16.204877,0.053634
suction,3.653540,16.235316,0.088352
suction,3.709365,16.264971,0.126417
suction,3.764449,16.293799,0.167755
suction,3.818758,16.321775,0.212306
suction,3.872289,16.349129,0.259982
suction,3.925053,16.375878,0.310703
suction,3.977061,16.402034,0.364409
suction,4.028346,16.427624,0.421029
suction,4.078947,16.452676,0.480505
suction,4.128905,16.477218,0.542778
suction,4.178268,16.501300,0.607801
suction,4.227097,16.525100,0.675509
suction,4.275458,16.548644,0.745857
suction,4.323394,16.571954,0.818801
suction,4.370996,16.595074,0.894281
suction,4.418315,16.618031,0.972286
suction,4.465419,16.640857,1.052759
suction,4.512385,16.663590,1.135658
suction,4.559269,16.686257,1.220937
suction,4.606137,16.709060,1.308521
suction,4.653073,16.732050,1.398317
suction,4.700163,16.755153,1.490242
suction,4.747464,16.778398,1.584247
suction,4.788697,16.798692,1.667427
pressure,2.695176,15.657798,0.030556
pressure,2.698280,15.659886,0.039654
pressure,2.705744,15.664899,0.048271
pressure,2.717558,15.672819,0.056294
pressure,2.733707,15.683611,0.063591
pressure,2.754186,15.697244,0.070100
pressure,2.779007,15.713683,0.075941
pressure,2.808215,15.732913,0.081573
pressure,2.841908,15.754940,0.087977
pressure,2.851944,15.761469,0.090064
pressure,2.900030,15.792550,0.101185
pressure,2.947201,15.822712,0.112763
pressure,2.993695,15.852125,0.125029
pressure,2.993695,15.852125,0.125029
pressure,3.039509,15.880800,0.138348
pressure,3.084805,15.908849,0.152704
pressure,3.129784,15.936407,0.168166
pressure,3.174599,15.963570,0.184816
pressure,3.219401,15.990433,0.202714
pressure,3.264348,16.017088,0.221967
pressure,3.309592,16.043623,0.242665
pressure,3.355275,16.070062,0.264917
pressure,3.401504,16.096426,0.288853
pressure,3.448386,16.122862,0.314528
pressure,3.495992,16.149456,0.342229
pressure,3.544379,16.176166,0.371929
pressure,3.593581,16.203017,0.403787
pressure,3.643637,16.230013,0.437915
pressure,3.694546,16.257138,0.474408
pressure,3.746299,16.284371,0.513379
pressure,3.798886,16.311565,0.554896
pressure,3.852273,16.338927,0.599044
pressure,3.906422,16.366457,0.645884
pressure,3.961291,16.394125,0.695479
pressure,4.016833,16.421897,0.747873
pressure,4.072986,16.449735,0.803119
pressure,4.129684,16.477599,0.861249
pressure,4.186883,16.505501,0.922277
pressure,4.244493,16.533572,0.986240
pressure,4.302463,16.561779,1.053139
pressure,4.360723,16.590086,1.122982
pressure,4.419196,16.618458,1.195836
pressure,4.477827,16.646865,1.271632
pressure,4.536546,16.675274,1.350337
pressure,4.595268,16.703742,1.431895
pressure,4.653904,16.732457,1.516241
pressure,4.712397,16.761161,1.603228
pressure,4.762961,16.786021,1.681049
