# LPT appendix p.162 (pdf_page: 175); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,15.435551,15.657863,0.0
suction,15.433051,15.657811,-0.005376
suction,15.433642,15.657623,-0.014111
suction,15.437351,15.657901,-0.026181
suction,15.444227,15.658045,-0.041540
suction,15.454343,15.658260,-0.060122
suction,15.467802,15.658551,-0.081833
suction,15.484742,15.658925,-0.106548
suction,15.505342,15.659392,-0.134102
suction,15.529834,15.659964,-0.164284
suction,15.558510,15.660658,-0.196827
suction,15.591736,15.661494,-0.231399
suction,15.613944,15.662072,-0.252837
suction,15.613944,15.662072,-0.252837
suction,15.650540,15.663059,-0.285299
suction,15.688028,15.664112,-0.314898
suction,15.726373,15.665216,-0.341375
suction,15.765568,15.666291,-0.364529
suction,15.805581,15.667477,-0.384157
suction,15.846393,15.668780,-0.400173
suction,15.887952,15.670205,-0.412529
suction,15.930106,15.671750,-0.421100
suction,15.972639,15.673411,-0.425806
suction,16.015308,15.675189,-0.426508
suction,16.057826,15.677387,-0.423180
suction,16.099859,15.679655,-0.415887
suction,16.141166,15.681977,-0.404905
suction,16.181703,15.684346,-0.390494
suction,16.221533,15.686760,-0.372834
suction,16.260858,15.689228,-0.351956
suction,16.299793,15.691754,-0.327716
suction,16.338273,15.694287,-0.300062
suction,16.376267,15.696788,-0.269045
suction,16.413637,15.699251,-0.234890
suction,16.450302,15.701671,-0.197952
suction,16.486419,15.704057,-0.158343
suction,16.522159,15.706420,-0.116016
suction,16.557649,15.708770,-0.071112
suction,16.592947,15.711110,-0.023824
suction,16.628070,15.713333,0.025706
suction,16.662985,15.715492,0.077374
suction,16.697729,15.717614,0.131003
suction,16.732348,15.719702,0.186392
suction,16.766896,15.721760,0.243318
suction,16.801427,15.723791,0.301544
suction,16.835994,15.725797,0.360867
suction,16.870654,15.727783,0.421132
suction,16.898251,15.729346,0.469581
pressure,15.435551,15.657863,0.0
pressure,15.439271,15.657941,0.001702
pressure,15.444646,15.658054,0.001520
pressure,15.451595,15.658201,-0.000621
pressure,15.460014,15.658382,-0.004813
pressure,15.469833,15.658595,-0.011123
pressure,15.481084,15.658843,-0.019521
pressure,15.493997,15.659133,-0.029796
pressure,15.525517,15.659862,-0.054264
pressure,15.565345,15.660827,-0.083729
pressure,15.605312,15.661846,-0.113200
pressure,15.644174,15.662884,-0.141267
pressure,15.681815,15.663935,-0.166744
pressure,15.681815,15.663935,-0.166744
pressure,15.718461,15.665000,-0.189045
pressure,15.754217,15.665970,-0.207986
pressure,15.789115,15.666978,-0.223721
pressure,15.823163,15.668027,-0.236591
pressure,15.856393,15.669114,-0.247036
pressure,15.888824,15.670236,-0.255355
pressure,15.920508,15.671389,-0.261680
pressure,15.951597,15.672576,-0.266148
pressure,15.982307,15.673803,-0.268841
pressure,16.012881,15.675077,-0.269897
pressure,16.043606,15.676641,-0.269347
pressure,16.074816,15.678292,-0.267158
pressure,16.106752,15.680036,-0.263157
pressure,16.139458,15.681879,-0.257158
pressure,16.172871,15.683822,-0.248932
pressure,16.206789,15.685857,-0.238152
pressure,16.241097,15.687978,-0.224326
pressure,16.275860,15.690192,-0.206780
pressure,16.311109,15.692501,-0.184952
pressure,16.346982,15.694860,-0.158656
pressure,16.383560,15.697269,-0.128373
pressure,16.420686,15.699716,-0.094896
pressure,16.458190,15.702191,-0.058528
pressure,16.495942,15.704686,-0.019157
pressure,16.533887,15.707197,0.023140
pressure,16.572007,15.709722,0.068109
pressure,16.610336,15.712226,0.115475
pressure,16.648835,15.714620,0.165045
pressure,16.687458,15.716990,0.216619
pressure,16.726154,15.719331,0.269985
pressure,16.764866,15.721640,0.324917
pressure,16.803541,15.723914,0.381204
pressure,16.842125,15.726151,0.438698
pressure,16.872671,15.727898,0.485130
