# LPT appendix p.148 (pdf_page: 161); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,5.491467,15.465573,0.0
suction,5.488070,15.464274,0.005048
suction,5.486897,15.463826,0.012695
suction,5.488038,15.464262,0.022865
suction,5.491634,15.465637,0.035440
suction,5.497852,15.468014,0.050284
suction,5.506861,15.471454,0.067257
suction,5.518797,15.476007,0.086248
suction,5.533721,15.481692,0.107211
suction,5.542783,15.485139,0.119055
suction,5.542783,15.485139,0.119055
suction,5.567559,15.494547,0.148827
suction,5.593048,15.504201,0.176088
suction,5.619287,15.514111,0.201197
suction,5.646559,15.524381,0.224343
suction,5.675059,15.535082,0.245552
suction,5.704991,15.546284,0.264670
suction,5.736282,15.557899,0.281286
suction,5.768699,15.569907,0.294924
suction,5.802051,15.582240,0.305291
suction,5.836105,15.594809,0.312133
suction,5.870606,15.607521,0.315248
suction,5.905259,15.620264,0.314565
suction,5.939759,15.632919,0.310059
suction,5.973823,15.645422,0.301793
suction,6.007263,15.657730,0.289945
suction,6.039929,15.669786,0.274713
suction,6.071616,15.681513,0.256395
suction,6.102215,15.692867,0.235356
suction,6.131624,15.703806,0.211966
suction,6.159856,15.714394,0.186554
suction,6.187192,15.724729,0.159184
suction,6.213870,15.734857,0.129807
suction,6.240027,15.744828,0.098489
suction,6.265762,15.754677,0.065206
suction,6.291127,15.764423,0.030363
suction,6.316161,15.774079,-0.006244
suction,6.340967,15.783683,-0.044496
suction,6.365671,15.793283,-0.084433
suction,6.390415,15.802927,-0.126133
suction,6.415315,15.812668,-0.169715
suction,6.440434,15.822530,-0.215186
suction,6.465777,15.832516,-0.262394
suction,6.491269,15.842598,-0.311013
suction,6.516788,15.852726,-0.360531
suction,6.542162,15.862834,-0.410480
suction,6.567264,15.872869,-0.460530
suction,6.585714,15.880268,-0.497669
pressure,5.491467,15.465573,0.0
pressure,5.495138,15.466977,-0.001890
pressure,5.499917,15.468802,-0.002379
pressure,5.505731,15.471023,-0.001402
pressure,5.512487,15.473601,0.001117
pressure,5.520125,15.476513,0.005228
pressure,5.528684,15.479774,0.010900
pressure,5.538391,15.483469,0.017945
pressure,5.567460,15.494511,0.038299
pressure,5.598196,15.506147,0.057987
pressure,5.598196,15.506147,0.057987
pressure,5.627972,15.517385,0.075366
pressure,5.657034,15.528318,0.091068
pressure,5.685346,15.538936,0.105379
pressure,5.712626,15.549124,0.118160
pressure,5.738677,15.558787,0.129012
pressure,5.763297,15.567907,0.137517
pressure,5.786558,15.576514,0.143597
pressure,5.808692,15.584693,0.147563
pressure,5.829891,15.592517,0.149743
pressure,5.850389,15.600075,0.150473
pressure,5.870440,15.607459,0.150034
pressure,5.890338,15.614780,0.148534
pressure,5.910339,15.622149,0.145994
pressure,5.930877,15.629665,0.142308
pressure,5.951988,15.637404,0.137200
pressure,5.973873,15.645440,0.130309
pressure,5.996738,15.653852,0.121216
pressure,6.020690,15.662681,0.109586
pressure,6.045833,15.671969,0.095295
pressure,6.072152,15.681712,0.078532
pressure,6.099368,15.691809,0.059707
pressure,6.127241,15.702174,0.039005
pressure,6.155636,15.712802,0.016303
pressure,6.184452,15.723691,-0.008554
pressure,6.213638,15.734769,-0.035663
pressure,6.243155,15.746023,-0.064969
pressure,6.272901,15.757417,-0.096361
pressure,6.302748,15.768901,-0.129865
pressure,6.332556,15.780423,-0.165657
pressure,6.362207,15.791935,-0.203975
pressure,6.391640,15.803406,-0.245005
pressure,6.420848,15.814838,-0.288615
pressure,6.449908,15.826259,-0.334354
pressure,6.478940,15.837717,-0.381497
pressure,6.508118,15.849281,-0.429216
pressure,6.537567,15.861001,-0.476893
pressure,6.559658,15.869825,-0.512080
