# LPT appendix p.172 (pdf_page: 185); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,21.702990,19.485240,0.0
suction,21.701674,19.485213,0.006602
suction,21.703330,19.485247,0.014585
suction,21.707989,19.485342,0.023884
suction,21.715701,19.485500,0.034390
suction,21.726545,19.485725,0.045936
suction,21.740638,19.486022,0.058285
suction,21.758128,19.486399,0.071113
suction,21.779220,19.486864,0.083993
suction,21.791797,19.487147,0.090581
suction,21.791797,19.487147,0.090581
suction,21.829715,19.488027,0.106474
suction,21.867672,19.488948,0.117705
suction,21.905394,19.489901,0.125598
suction,21.943396,19.490901,0.130861
suction,21.981648,19.491948,0.133517
suction,22.019953,19.493079,0.133640
suction,22.058222,19.494236,0.131361
suction,22.096405,19.495416,0.126755
suction,22.134474,19.496619,0.119906
suction,22.172409,19.497844,0.110888
suction,22.210168,19.499088,0.099752
suction,22.247710,19.500350,0.086547
suction,22.285006,19.501620,0.071349
suction,22.322039,19.502879,0.054234
suction,22.358816,19.504131,0.035275
suction,22.395334,19.505375,0.014513
suction,22.431571,19.506610,-0.007991
suction,22.467517,19.507836,-0.032156
suction,22.503206,19.509053,-0.057939
suction,22.538652,19.510264,-0.085304
suction,22.573817,19.511404,-0.114272
suction,22.608681,19.512528,-0.144766
suction,22.643254,19.513640,-0.176683
suction,22.677548,19.514740,-0.209916
suction,22.711615,19.515831,-0.244350
suction,22.745482,19.516911,-0.279913
suction,22.779163,19.517983,-0.316537
suction,22.812672,19.519047,-0.354150
suction,22.846041,19.520123,-0.392699
suction,22.879286,19.521202,-0.432164
suction,22.912400,19.522279,-0.472501
suction,22.945395,19.523355,-0.513906
suction,22.978272,19.524429,-0.555345
suction,23.010902,19.525498,-0.597665
suction,23.043477,19.526568,-0.640262
suction,23.076352,19.527650,-0.682743
suction,23.100588,19.528449,-0.713929
pressure,21.702990,19.485240,0.0
pressure,21.707036,19.485322,-0.005137
pressure,21.713691,19.485458,-0.008978
pressure,21.722902,19.485649,-0.011411
pressure,21.734597,19.485894,-0.012784
pressure,21.748713,19.486195,-0.011185
pressure,21.765233,19.486554,-0.008915
pressure,21.784230,19.486976,-0.004792
pressure,21.805931,19.487471,0.000427
pressure,21.823510,19.487880,0.004433
pressure,21.823510,19.487880,0.004433
pressure,21.855368,19.488645,0.010678
pressure,21.887187,19.489436,0.015294
pressure,21.919240,19.490261,0.018540
pressure,21.951014,19.491107,0.020196
pressure,21.982537,19.491973,0.020220
pressure,22.014008,19.492902,0.018565
pressure,22.045515,19.493849,0.015223
pressure,22.077107,19.494816,0.010234
pressure,22.108814,19.495806,0.003608
pressure,22.140655,19.496817,-0.004651
pressure,22.172671,19.497852,-0.014555
pressure,22.204905,19.498913,-0.026060
pressure,22.237385,19.500001,-0.039163
pressure,22.270127,19.501114,-0.053846
pressure,22.303126,19.502236,-0.070090
pressure,22.336383,19.503367,-0.087866
pressure,22.369922,19.504509,-0.107154
pressure,22.403752,19.505662,-0.127921
pressure,22.437839,19.506824,-0.150123
pressure,22.472168,19.507994,-0.173726
pressure,22.506779,19.509175,-0.198704
pressure,22.541690,19.510363,-0.224742
pressure,22.576893,19.511503,-0.252212
pressure,22.612375,19.512647,-0.281648
pressure,22.648084,19.513796,-0.311792
pressure,22.683992,19.514947,-0.343072
pressure,22.720086,19.516101,-0.375426
pressure,22.756353,19.517257,-0.408784
pressure,22.792760,19.518415,-0.443088
pressure,22.829291,19.519580,-0.478309
pressure,22.865953,19.520769,-0.514425
pressure,22.902733,19.521964,-0.551381
pressure,22.939632,19.523167,-0.589050
pressure,22.976778,19.524380,-0.627133
pressure,23.013978,19.525599,-0.665581
pressure,23.050879,19.526811,-0.704528
pressure,23.077893,19.527700,-0.733305
