# LPT appendix p.150 (pdf_page: 163); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,7.356423,14.205098,0.0
suction,7.352095,14.204351,-0.007793
suction,7.351199,14.204195,-0.018871
suction,7.353842,14.204653,-0.033125
suction,7.360189,14.205743,-0.050388
suction,7.370435,14.207518,-0.070463
suction,7.384775,14.209993,-0.093152
suction,7.403362,14.213199,-0.118302
suction,7.426252,14.217144,-0.145859
suction,7.453344,14.221810,-0.175925
suction,7.461118,14.223149,-0.184263
suction,7.461118,14.223149,-0.184263
suction,7.495488,14.229061,-0.219789
suction,7.530938,14.235153,-0.253824
suction,7.566676,14.241286,-0.285767
suction,7.602673,14.247492,-0.316009
suction,7.640136,14.253872,-0.344781
suction,7.678788,14.260356,-0.371852
suction,7.719027,14.267073,-0.396878
suction,7.760910,14.274118,-0.419367
suction,7.804401,14.281492,-0.438788
suction,7.849385,14.289161,-0.454567
suction,7.895592,14.297145,-0.466179
suction,7.942576,14.305311,-0.473227
suction,7.989794,14.313838,-0.475548
suction,8.036790,14.322459,-0.473175
suction,8.083153,14.331251,-0.466266
suction,8.128504,14.339901,-0.455133
suction,8.172617,14.348435,-0.440173
suction,8.215535,14.356851,-0.421703
suction,8.257374,14.365167,-0.399896
suction,8.298275,14.373415,-0.374747
suction,8.338293,14.381552,-0.346137
suction,8.377377,14.389561,-0.314016
suction,8.415503,14.397433,-0.278391
suction,8.452719,14.405175,-0.239454
suction,8.489179,14.412814,-0.197412
suction,8.525018,14.420375,-0.152455
suction,8.560300,14.427862,-0.104773
suction,8.595099,14.435224,-0.054548
suction,8.629494,14.442514,-0.002019
suction,8.663604,14.449815,0.052513
suction,8.697522,14.457087,0.108748
suction,8.731344,14.464360,0.166382
suction,8.765214,14.471694,0.225079
suction,8.799324,14.479101,0.284521
suction,8.833907,14.486645,0.344422
suction,8.861738,14.492739,0.392176
pressure,7.356423,14.205098,0.0
pressure,7.362579,14.206161,0.003728
pressure,7.371271,14.207662,0.004962
pressure,7.382500,14.209600,0.003705
pressure,7.396278,14.211977,-0.000034
pressure,7.412630,14.214797,-0.006229
pressure,7.431617,14.218069,-0.014821
pressure,7.453345,14.221811,-0.025700
pressure,7.477993,14.226052,-0.038689
pressure,7.503339,14.230411,-0.052248
pressure,7.545494,14.237652,-0.074739
pressure,7.545494,14.237652,-0.074739
pressure,7.586325,14.244656,-0.095955
pressure,7.626074,14.251465,-0.115399
pressure,7.665537,14.258155,-0.133793
pressure,7.704540,14.264649,-0.151358
pressure,7.742478,14.271011,-0.167728
pressure,7.779027,14.277183,-0.182517
pressure,7.813989,14.283125,-0.195359
pressure,7.847306,14.288824,-0.206071
pressure,7.879015,14.294280,-0.214673
pressure,7.909231,14.299508,-0.221349
pressure,7.938225,14.304552,-0.226375
pressure,7.966441,14.309566,-0.230015
pressure,7.994424,14.314689,-0.232425
pressure,8.022629,14.319902,-0.233619
pressure,8.051486,14.325251,-0.233515
pressure,8.081315,14.330903,-0.231898
pressure,8.112403,14.336815,-0.228518
pressure,8.144685,14.343017,-0.223169
pressure,8.178047,14.349493,-0.215654
pressure,8.212347,14.356222,-0.205769
pressure,8.247529,14.363199,-0.193192
pressure,8.283645,14.370457,-0.177406
pressure,8.320720,14.377971,-0.157820
pressure,8.358704,14.385726,-0.133809
pressure,8.397445,14.393697,-0.105047
pressure,8.436807,14.401858,-0.071585
pressure,8.476725,14.410198,-0.033854
pressure,8.517126,14.418706,0.007538
pressure,8.557931,14.427362,0.052047
pressure,8.599022,14.436056,0.099248
pressure,8.640305,14.444838,0.148726
pressure,8.681684,14.453687,0.200116
pressure,8.723014,14.462573,0.253118
pressure,8.764105,14.471453,0.307510
pressure,8.804721,14.480276,0.363190
pressure,8.836547,14.487222,0.408206
