# LPT appendix p.165 (pdf_page: 178); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,17.618050,15.758063,0.0
suction,17.615121,15.757894,0.005103
suction,17.614500,15.757859,0.012528
suction,17.616270,15.757961,0.022193
suction,17.620557,15.758208,0.033976
suction,17.627515,15.758608,0.047728
suction,17.637299,15.759170,0.063302
suction,17.650032,15.759897,0.080578
suction,17.665767,15.760792,0.099505
suction,17.684443,15.761847,0.120142
suction,17.700133,15.762728,0.136667
suction,17.700133,15.762728,0.136667
suction,17.726316,15.764188,0.162837
suction,17.752928,15.765657,0.187617
suction,17.779940,15.767133,0.210961
suction,17.807387,15.768618,0.232912
suction,17.835361,15.770116,0.253451
suction,17.863931,15.771721,0.272435
suction,17.893145,15.773321,0.289699
suction,17.923017,15.774908,0.305123
suction,17.953562,15.776481,0.318537
suction,17.984775,15.778036,0.329766
suction,18.016620,15.779567,0.338603
suction,18.049015,15.781068,0.344832
suction,18.081825,15.782436,0.348304
suction,18.114912,15.783684,0.348910
suction,18.148094,15.784838,0.346557
suction,18.181110,15.785884,0.341238
suction,18.213694,15.786819,0.333006
suction,18.245628,15.787640,0.322022
suction,18.276771,15.788351,0.308456
suction,18.307099,15.788882,0.292484
suction,18.336641,15.789329,0.274037
suction,18.365479,15.789706,0.253410
suction,18.393701,15.790020,0.231178
suction,18.421375,15.790274,0.206757
suction,18.448545,15.790471,0.180301
suction,18.475296,15.790616,0.151979
suction,18.501704,15.790710,0.121826
suction,18.527883,15.790838,0.089848
suction,18.553925,15.790935,0.056016
suction,18.579861,15.791002,0.020324
suction,18.605748,15.791040,-0.017145
suction,18.631621,15.791048,-0.056258
suction,18.657516,15.791026,-0.096815
suction,18.683430,15.790975,-0.138658
suction,18.709312,15.790895,-0.181704
suction,18.727962,15.790818,-0.213468
pressure,17.618050,15.758063,0.0
pressure,17.622063,15.758295,-0.002371
pressure,17.627529,15.758609,-0.003139
pressure,17.634338,15.759000,-0.002194
pressure,17.642342,15.759458,0.000605
pressure,17.651428,15.759977,0.005369
pressure,17.661597,15.760555,0.012094
pressure,17.673085,15.761209,0.020554
pressure,17.691641,15.762252,0.034137
pressure,17.721618,15.763927,0.055112
pressure,17.751259,15.765565,0.074734
pressure,17.751259,15.765565,0.074734
pressure,17.780488,15.767163,0.092922
pressure,17.809288,15.768721,0.109650
pressure,17.837688,15.770244,0.124950
pressure,17.865653,15.771817,0.138780
pressure,17.893091,15.773318,0.151047
pressure,17.919933,15.774747,0.161737
pressure,17.946130,15.776103,0.170886
pressure,17.971679,15.777389,0.178506
pressure,17.996537,15.778607,0.184678
pressure,18.020736,15.779761,0.189494
pressure,18.044303,15.780853,0.193078
pressure,18.067320,15.781857,0.195564
pressure,18.089921,15.782751,0.197019
pressure,18.112247,15.783589,0.197455
pressure,18.134476,15.784377,0.196843
pressure,18.156872,15.785126,0.195082
pressure,18.179700,15.785841,0.192062
pressure,18.203177,15.786528,0.187630
pressure,18.227447,15.787184,0.181675
pressure,18.252530,15.787805,0.174107
pressure,18.278400,15.788386,0.164843
pressure,18.304974,15.788848,0.153777
pressure,18.332164,15.789265,0.140736
pressure,18.359902,15.789638,0.125482
pressure,18.388143,15.789962,0.107879
pressure,18.416805,15.790235,0.087830
pressure,18.445808,15.790454,0.065315
pressure,18.475041,15.790615,0.040330
pressure,18.504411,15.790725,0.012833
pressure,18.533886,15.790863,-0.017200
pressure,18.563412,15.790963,-0.049715
pressure,18.592950,15.791025,-0.084539
pressure,18.622467,15.791048,-0.121402
pressure,18.651965,15.791033,-0.159976
pressure,18.681495,15.790980,-0.199990
pressure,18.702822,15.790918,-0.229672
