# LPT appendix p.160 (pdf_page: 173); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,13.398751,18.022804,0.0
suction,13.394760,18.021491,0.005699
suction,13.393111,18.020949,0.014104
suction,13.393897,18.021208,0.025137
suction,13.397260,18.022314,0.039676
suction,13.403377,18.024328,0.054575
suction,13.412436,18.027316,0.072675
suction,13.424606,18.031339,0.092838
suction,13.439999,18.036442,0.114971
suction,13.458628,18.042641,0.139065
suction,13.476381,18.048570,0.160408
suction,13.476381,18.048570,0.160408
suction,13.503494,18.057669,0.190328
suction,13.531684,18.067183,0.218126
suction,13.560867,18.077092,0.243702
suction,13.591084,18.087415,0.266983
suction,13.622465,18.098203,0.287802
suction,13.655179,18.109778,0.305952
suction,13.689391,18.121913,0.321122
suction,13.725108,18.134559,0.332914
suction,13.762185,18.147660,0.340897
suction,13.800240,18.161079,0.344634
suction,13.838716,18.174618,0.343841
suction,13.875987,18.187890,0.338469
suction,13.911463,18.200559,0.328666
suction,13.950666,18.212632,0.314805
suction,13.985342,18.224042,0.297378
suction,14.018467,18.234802,0.276795
suction,14.050169,18.244972,0.253357
suction,14.080830,18.254688,0.227158
suction,14.110728,18.263883,0.198163
suction,14.139927,18.272699,0.166568
suction,14.168466,18.281251,0.132532
suction,14.196446,18.289574,0.096158
suction,14.223932,18.297689,0.057487
suction,14.251071,18.305644,0.016582
suction,14.277964,18.313469,-0.026528
suction,14.304641,18.321176,-0.071753
suction,14.331122,18.328827,-0.118940
suction,14.357459,18.336549,-0.167981
suction,14.383697,18.344232,-0.218818
suction,14.409878,18.351886,-0.271377
suction,14.436071,18.359533,-0.325525
suction,14.462306,18.367180,-0.381109
suction,14.488632,18.374843,-0.437939
suction,14.515089,18.382533,-0.495839
suction,14.541707,18.390257,-0.554688
suction,14.562573,18.396304,-0.601187
pressure,13.398751,18.022804,0.0
pressure,13.403529,18.024378,-0.002476
pressure,13.409788,18.026442,-0.003106
pressure,13.417434,18.028967,-0.001809
pressure,13.426349,18.031916,0.001514
pressure,13.436460,18.035268,0.006926
pressure,13.447826,18.039044,0.014378
pressure,13.460750,18.043348,0.023615
pressure,13.481237,18.050196,0.037960
pressure,13.513915,18.061180,0.059528
pressure,13.545831,18.071979,0.079279
pressure,13.545831,18.071979,0.079279
pressure,13.576743,18.082508,0.097053
pressure,13.606578,18.092732,0.112739
pressure,13.635419,18.102758,0.126311
pressure,13.663228,18.112635,0.137798
pressure,13.689872,18.122084,0.147279
pressure,13.715182,18.131047,0.154781
pressure,13.738996,18.139469,0.160336
pressure,13.761304,18.147349,0.163990
pressure,13.782251,18.154739,0.165847
pressure,13.802221,18.161776,0.166058
pressure,13.821771,18.168659,0.164720
pressure,13.841524,18.175605,0.161792
pressure,13.862073,18.182799,0.157143
pressure,13.883895,18.190238,0.150545
pressure,13.907245,18.198133,0.141770
pressure,13.932144,18.206476,0.130759
pressure,13.958467,18.215212,0.117557
pressure,13.985831,18.224202,0.102210
pressure,14.013958,18.233346,0.084520
pressure,14.042783,18.242614,0.063972
pressure,14.072269,18.251987,0.040281
pressure,14.102314,18.261370,0.013385
pressure,14.132854,18.270570,-0.016618
pressure,14.163740,18.279840,-0.049637
pressure,14.194871,18.289107,-0.085587
pressure,14.226219,18.298362,-0.124368
pressure,14.257763,18.307596,-0.165758
pressure,14.289451,18.316797,-0.209485
pressure,14.321238,18.325942,-0.255385
pressure,14.353082,18.335267,-0.303385
pressure,14.384914,18.344588,-0.353379
pressure,14.416703,18.353879,-0.405202
pressure,14.448403,18.363129,-0.458651
pressure,14.479971,18.372323,-0.513518
pressure,14.511378,18.381455,-0.569649
pressure,14.535757,18.388531,-0.614221
