# LPT appendix p.152 (pdf_page: 165); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,7.263435,17.955466,0.0
suction,7.258673,17.953174,-0.008071
suction,7.257204,17.952466,-0.019374
suction,7.259076,17.953368,-0.033861
suction,7.264367,17.955914,-0.051454
suction,7.273180,17.960147,-0.072050
suction,7.285642,17.966111,-0.095525
suction,7.301894,17.973855,-0.121740
suction,7.322089,17.983422,-0.150545
suction,7.345378,17.994848,-0.181792
suction,7.374906,18.008154,-0.215342
suction,7.407795,18.023342,-0.251078
suction,7.440959,18.038493,-0.284726
suction,7.440959,18.038493,-0.284726
suction,7.479079,18.055704,-0.320805
suction,7.517927,18.073019,-0.354955
suction,7.558188,18.090724,-0.387325
suction,7.600123,18.108814,-0.417536
suction,7.643834,18.127357,-0.445097
suction,7.689537,18.146491,-0.469479
suction,7.737375,18.166240,-0.490182
suction,7.787345,18.186565,-0.506462
suction,7.839208,18.207331,-0.517684
suction,7.892520,18.228328,-0.523210
suction,7.946566,18.249115,-0.522560
suction,8.000245,18.269620,-0.515558
suction,8.052541,18.289475,-0.502470
suction,8.102983,18.308514,-0.483704
suction,8.151372,18.326674,-0.459766
suction,8.197688,18.343961,-0.431150
suction,8.241986,18.360459,-0.398247
suction,8.284401,18.376367,-0.361482
suction,8.325121,18.391747,-0.321160
suction,8.364343,18.406660,-0.277480
suction,8.402339,18.421201,-0.230595
suction,8.439379,18.435463,-0.180520
suction,8.475717,18.449540,-0.127217
suction,8.511581,18.463516,-0.070722
suction,8.547142,18.477549,-0.011063
suction,8.582510,18.491835,0.051646
suction,8.617738,18.506208,0.117171
suction,8.652872,18.520684,0.185270
suction,8.688002,18.535301,0.255652
suction,8.723232,18.550103,0.328011
suction,8.758761,18.565174,0.402002
suction,8.794780,18.580601,0.477333
suction,8.831526,18.596494,0.553750
suction,8.862685,18.610092,0.618012
pressure,7.263435,17.955466,0.0
pressure,7.269163,17.958219,0.003310
pressure,7.277351,17.962146,0.004186
pressure,7.288014,17.967244,0.002637
pressure,7.301179,17.973515,-0.001310
pressure,7.316889,17.980965,-0.007615
pressure,7.335214,17.989607,-0.016209
pressure,7.356257,17.999469,-0.026988
pressure,7.380170,18.010596,-0.039808
pressure,7.418533,18.028266,-0.060708
pressure,7.463920,18.048886,-0.085139
pressure,7.507762,18.068510,-0.107609
pressure,7.550218,18.087238,-0.127368
pressure,7.550218,18.087238,-0.127368
pressure,7.592136,18.105399,-0.144992
pressure,7.633326,18.122921,-0.160646
pressure,7.673104,18.139641,-0.173978
pressure,7.711208,18.155473,-0.184848
pressure,7.747535,18.170398,-0.193346
pressure,7.781870,18.184354,-0.199657
pressure,7.814071,18.197308,-0.203941
pressure,7.844139,18.209288,-0.206560
pressure,7.872315,18.220412,-0.207819
pressure,7.899041,18.230857,-0.208026
pressure,7.925033,18.240855,-0.207396
pressure,7.951393,18.250964,-0.205925
pressure,7.979136,18.261571,-0.203413
pressure,8.008732,18.272850,-0.199580
pressure,8.040381,18.284869,-0.193982
pressure,8.074104,18.297628,-0.186100
pressure,8.109845,18.311096,-0.175422
pressure,8.147468,18.325213,-0.161337
pressure,8.186786,18.339900,-0.143337
pressure,8.227603,18.355091,-0.121024
pressure,8.269646,18.370821,-0.094086
pressure,8.312644,18.387023,-0.062351
pressure,8.356345,18.403611,-0.025668
pressure,8.400519,18.420502,0.016100
pressure,8.444996,18.437634,0.062900
pressure,8.489667,18.454967,0.114502
pressure,8.534477,18.472481,0.170418
pressure,8.579382,18.490566,0.230077
pressure,8.624291,18.508897,0.292954
pressure,8.669099,18.527419,0.358831
pressure,8.713608,18.546045,0.426800
pressure,8.757628,18.564691,0.497211
pressure,8.800920,18.583246,0.569736
pressure,8.836291,18.598566,0.631540
