# LPT appendix p.154 (pdf_page: 167); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,9.403337,16.759952,0.0
suction,9.399696,16.758581,0.005106
suction,9.398257,16.758039,0.012922
suction,9.399108,16.758360,0.023380
suction,9.402384,16.759593,0.036370
suction,9.408256,16.761804,0.051761
suction,9.416903,16.765060,0.069411
suction,9.428489,16.769425,0.089193
suction,9.443129,16.774942,0.111020
suction,9.460843,16.781623,0.134877
suction,9.479573,16.788691,0.158304
suction,9.479573,16.788691,0.158304
suction,9.505755,16.798579,0.188368
suction,9.532647,16.808744,0.216153
suction,9.560306,16.819211,0.241770
suction,9.588743,16.829982,0.265034
suction,9.617919,16.841044,0.285741
suction,9.647977,16.852579,0.303771
suction,9.679083,16.864491,0.318945
suction,9.711250,16.876778,0.330999
suction,9.744373,16.889394,0.339673
suction,9.778255,16.902263,0.344669
suction,9.812598,16.915270,0.345733
suction,9.847027,16.928227,0.342708
suction,9.881164,16.940868,0.335609
suction,9.914728,16.953208,0.324590
suction,9.947520,16.965180,0.309894
suction,9.979405,16.976741,0.291597
suction,10.010314,16.987883,0.270138
suction,10.040304,16.998601,0.245725
suction,10.069325,17.008862,0.218663
suction,10.097452,17.018686,0.189169
suction,10.124757,17.028200,0.157426
suction,10.151518,17.037502,0.123352
suction,10.178015,17.046691,0.086743
suction,10.204294,17.055785,0.047755
suction,10.230270,17.064751,0.006677
suction,10.255929,17.073588,-0.036309
suction,10.281289,17.082322,-0.081146
suction,10.306486,17.091112,-0.127797
suction,10.331709,17.099922,-0.176271
suction,10.357030,17.108777,-0.226582
suction,10.382440,17.117674,-0.278665
suction,10.407905,17.126601,-0.332332
suction,10.433405,17.135552,-0.387260
suction,10.458931,17.144523,-0.443128
suction,10.484488,17.153516,-0.499700
suction,10.504130,17.160436,-0.543531
pressure,9.403337,16.759952,0.0
pressure,9.407841,16.761647,-0.002090
pressure,9.413717,16.763860,-0.002320
pressure,9.420827,16.766538,-0.000581
pressure,9.428991,16.769614,0.003271
pressure,9.438061,16.773032,0.009353
pressure,9.448029,16.776790,0.017672
pressure,9.459158,16.780987,0.028021
pressure,9.479892,16.788811,0.047241
pressure,9.509882,16.800138,0.073623
pressure,9.539189,16.811219,0.097416
pressure,9.539189,16.811219,0.097416
pressure,9.567877,16.822077,0.118688
pressure,9.595856,16.832678,0.137474
pressure,9.623068,16.843017,0.153518
pressure,9.649500,16.853163,0.166872
pressure,9.675195,16.863004,0.177898
pressure,9.700008,16.872488,0.186843
pressure,9.723772,16.881552,0.193954
pressure,9.746476,16.890194,0.199348
pressure,9.768223,16.898457,0.203133
pressure,9.789211,16.906417,0.205433
pressure,9.809739,16.914189,0.206318
pressure,9.830180,16.921914,0.205750
pressure,9.850913,16.929671,0.203524
pressure,9.872219,16.937565,0.199262
pressure,9.894298,16.945708,0.192532
pressure,9.917284,16.954145,0.182861
pressure,9.941215,16.962885,0.169878
pressure,9.966126,16.971936,0.153400
pressure,9.991975,16.981277,0.133504
pressure,10.018718,16.990885,0.110556
pressure,10.046284,17.000732,0.085038
pressure,10.074393,17.010634,0.057333
pressure,10.102766,17.020539,0.027214
pressure,10.131354,17.030495,-0.005864
pressure,10.160253,17.040534,-0.041795
pressure,10.189464,17.050655,-0.080075
pressure,10.218974,17.060854,-0.120364
pressure,10.248647,17.071082,-0.162622
pressure,10.278295,17.081279,-0.207007
pressure,10.307845,17.091587,-0.253671
pressure,10.337305,17.101878,-0.302555
pressure,10.366710,17.112165,-0.353425
pressure,10.396081,17.122455,-0.405898
pressure,10.425425,17.132750,-0.459549
pressure,10.454739,17.143049,-0.514067
pressure,10.477231,17.150961,-0.556396
