# LPT appendix p.169 (pdf_page: 182); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,19.472147,19.378800,0.0
suction,19.469239,19.378395,-0.007904
suction,19.469927,19.378491,-0.018263
suction,19.474305,19.379101,-0.030741
suction,19.482519,19.380239,-0.045735
suction,19.494749,19.381923,-0.062386
suction,19.511189,19.384163,-0.080621
suction,19.532016,19.386963,-0.100191
suction,19.557353,19.390312,-0.120922
suction,19.587229,19.394180,-0.142773
suction,19.605781,19.396538,-0.155435
suction,19.605781,19.396538,-0.155435
suction,19.646496,19.401594,-0.181218
suction,19.687694,19.406545,-0.204733
suction,19.729575,19.411408,-0.226002
suction,19.772124,19.416173,-0.244708
suction,19.815261,19.420867,-0.260474
suction,19.858898,19.425444,-0.273233
suction,19.902966,19.429853,-0.282989
suction,19.947433,19.434087,-0.289636
suction,19.992255,19.438136,-0.293039
suction,20.037348,19.441987,-0.293101
suction,20.082608,19.445628,-0.289682
suction,20.127905,19.448988,-0.282644
suction,20.173066,19.451975,-0.271875
suction,20.217838,19.454726,-0.257390
suction,20.262020,19.457234,-0.239335
suction,20.305603,19.459507,-0.217963
suction,20.348601,19.461556,-0.193485
suction,20.390946,19.463383,-0.166198
suction,20.432653,19.465000,-0.136451
suction,20.474064,19.466388,-0.104484
suction,20.515402,19.467654,-0.070189
suction,20.556339,19.468807,-0.033140
suction,20.596786,19.469844,0.006611
suction,20.636772,19.470773,0.048916
suction,20.676352,19.471596,0.093603
suction,20.715557,19.472317,0.140524
suction,20.754481,19.472941,0.189467
suction,20.793205,19.473605,0.240264
suction,20.831786,19.474264,0.292798
suction,20.870274,19.474873,0.346934
suction,20.908736,19.475432,0.402500
suction,20.947219,19.475942,0.459311
suction,20.985783,19.476403,0.517152
suction,21.024504,19.476817,0.575815
suction,21.063534,19.477184,0.635092
suction,21.094832,19.477441,0.682612
pressure,19.472147,19.378800,0.0
pressure,19.475609,19.379282,0.002544
pressure,19.481257,19.380065,0.003250
pressure,19.488982,19.381131,0.002566
pressure,19.498644,19.382456,0.000308
pressure,19.510123,19.384019,-0.005343
pressure,19.523398,19.385809,-0.012569
pressure,19.538646,19.387845,-0.021735
pressure,19.565605,19.391389,-0.037817
pressure,19.607012,19.396693,-0.060975
pressure,19.648063,19.401785,-0.081496
pressure,19.648063,19.401785,-0.081496
pressure,19.686676,19.406661,-0.100138
pressure,19.728805,19.411320,-0.116896
pressure,19.768251,19.415746,-0.131395
pressure,19.807030,19.419981,-0.143416
pressure,19.845221,19.424032,-0.153090
pressure,19.882910,19.427873,-0.160417
pressure,19.920171,19.431517,-0.165350
pressure,19.957030,19.434973,-0.167950
pressure,19.993536,19.438248,-0.168263
pressure,20.029771,19.441355,-0.166278
pressure,20.065836,19.444305,-0.162011
pressure,20.101868,19.447109,-0.155458
pressure,20.138035,19.449676,-0.146594
pressure,20.174590,19.452072,-0.135337
pressure,20.211735,19.454363,-0.121633
pressure,20.249480,19.456542,-0.105382
pressure,20.287810,19.458603,-0.086488
pressure,20.326792,19.460541,-0.064892
pressure,20.366412,19.462348,-0.040725
pressure,20.406328,19.464001,-0.014099
pressure,20.446318,19.465479,0.015020
pressure,20.486708,19.466786,0.046491
pressure,20.527589,19.468008,0.080426
pressure,20.568931,19.469140,0.116861
pressure,20.610698,19.470178,0.155761
pressure,20.652800,19.471117,0.197008
pressure,20.695204,19.471954,0.240499
pressure,20.737807,19.472685,0.286097
pressure,20.780554,19.473378,0.333680
pressure,20.823393,19.474125,0.383151
pressure,20.866258,19.474812,0.434394
pressure,20.909102,19.475437,0.487244
pressure,20.951866,19.476000,0.541513
pressure,20.994472,19.476501,0.597027
pressure,21.036770,19.476938,0.653721
pressure,21.070159,19.477241,0.699605
