# LPT appendix p.153 (pdf_page: 166); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,9.387539,14.614119,0.0
suction,9.383391,14.613030,0.006358
suction,9.381896,14.612637,0.015580
suction,9.383161,14.612969,0.027570
suction,9.387346,14.614068,0.042185
suction,9.394645,14.615982,0.059250
suction,9.405259,14.618755,0.078587
suction,9.419351,14.622423,0.100051
suction,9.437001,14.626993,0.123572
suction,9.458154,14.632435,0.149203
suction,9.464258,14.633998,0.156299
suction,9.464258,14.633998,0.156299
suction,9.490591,14.640705,0.185661
suction,9.517751,14.647555,0.213769
suction,9.545644,14.654535,0.240621
suction,9.574293,14.661628,0.266154
suction,9.603704,14.668838,0.290207
suction,9.633911,14.676199,0.312614
suction,9.664980,14.683702,0.333159
suction,9.697034,14.691338,0.351724
suction,9.730220,14.699130,0.368113
suction,9.764552,14.707070,0.382037
suction,9.799966,14.715132,0.393123
suction,9.836286,14.723264,0.401035
suction,9.873255,14.731351,0.405470
suction,9.910607,14.739325,0.406245
suction,9.948015,14.747136,0.403233
suction,9.985029,14.754691,0.396434
suction,10.021336,14.761914,0.386025
suction,10.056355,14.768763,0.372245
suction,10.090245,14.775149,0.355378
suction,10.122952,14.780971,0.335664
suction,10.154574,14.786558,0.313267
suction,10.185244,14.791936,0.288307
suction,10.215076,14.797130,0.260894
suction,10.244069,14.802142,0.231231
suction,10.272270,14.806983,0.199501
suction,10.299792,14.811676,0.165794
suction,10.326749,14.816358,0.130166
suction,10.353258,14.821142,0.092647
suction,10.379450,14.825900,0.053281
suction,10.405401,14.830645,0.012085
suction,10.431200,14.835393,-0.030908
suction,10.456922,14.840156,-0.075670
suction,10.482664,14.844952,-0.122161
suction,10.508544,14.849805,-0.170331
suction,10.534629,14.854726,-0.220175
suction,10.554520,14.858501,-0.258966
pressure,9.387539,14.614119,0.0
pressure,9.392686,14.615469,-0.002894
pressure,9.399520,14.617257,-0.003832
pressure,9.407952,14.619458,-0.002734
pressure,9.417875,14.622040,0.000497
pressure,9.429230,14.624985,0.005915
pressure,9.442090,14.628306,0.013456
pressure,9.456776,14.632082,0.022831
pressure,9.470537,14.635603,0.031523
pressure,9.503430,14.643953,0.051563
pressure,9.535996,14.652130,0.070950
pressure,9.535996,14.652130,0.070950
pressure,9.567916,14.660056,0.089578
pressure,9.599030,14.667697,0.107223
pressure,9.629370,14.675094,0.123526
pressure,9.658974,14.682260,0.138214
pressure,9.687816,14.689153,0.151194
pressure,9.715862,14.695773,0.162458
pressure,9.743046,14.702110,0.172102
pressure,9.769246,14.708146,0.180114
pressure,9.794312,14.713853,0.186487
pressure,9.818233,14.719239,0.191277
pressure,9.841073,14.724325,0.194672
pressure,9.863006,14.729132,0.196863
pressure,9.884290,14.733725,0.198052
pressure,9.905192,14.738180,0.198328
pressure,9.926036,14.742568,0.197720
pressure,9.947275,14.746983,0.196148
pressure,9.969321,14.751506,0.193428
pressure,9.992455,14.756186,0.189368
pressure,10.016819,14.761042,0.183763
pressure,10.042365,14.766053,0.176424
pressure,10.068995,14.771190,0.167153
pressure,10.096579,14.776280,0.155596
pressure,10.125600,14.781334,0.141707
pressure,10.154260,14.786503,0.124816
pressure,10.184513,14.791774,0.104892
pressure,10.215043,14.797124,0.082037
pressure,10.246339,14.802533,0.056415
pressure,10.278084,14.807377,0.028188
pressure,10.310145,14.813432,-0.002568
pressure,10.342447,14.819187,-0.035807
pressure,10.374901,14.825072,-0.071491
pressure,10.407432,14.831018,-0.109587
pressure,10.439944,14.837008,-0.150075
pressure,10.472316,14.843021,-0.192954
pressure,10.504485,14.849042,-0.238200
pressure,10.528635,14.853593,-0.273971
