# LPT appendix p.168 (pdf_page: 181); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,19.617719,15.756459,0.0
suction,19.614491,15.756645,-0.005925
suction,19.613723,15.756690,-0.014075
suction,19.615479,15.756588,-0.024381
suction,19.619855,15.756335,-0.036740
suction,19.626960,15.755922,-0.051034
suction,19.636889,15.755340,-0.067158
suction,19.649697,15.754582,-0.085056
suction,19.665350,15.753644,-0.104761
suction,19.695599,15.751795,-0.139449
suction,19.695599,15.751795,-0.139449
suction,19.730685,15.749592,-0.175114
suction,19.766671,15.747267,-0.207195
suction,19.803423,15.744823,-0.236628
suction,19.841450,15.742221,-0.263561
suction,19.880417,15.739477,-0.287680
suction,19.919873,15.736644,-0.308699
suction,19.959917,15.733738,-0.326302
suction,20.000525,15.730680,-0.340669
suction,20.041705,15.727465,-0.351871
suction,20.083461,15.724087,-0.359800
suction,20.125597,15.720558,-0.364311
suction,20.167850,15.716899,-0.365382
suction,20.209958,15.713101,-0.362949
suction,20.251688,15.709021,-0.357103
suction,20.292941,15.704881,-0.347942
suction,20.333629,15.700693,-0.335573
suction,20.373586,15.696478,-0.320186
suction,20.412797,15.692244,-0.302077
suction,20.451634,15.687955,-0.281298
suction,20.490363,15.683594,-0.257694
suction,20.528742,15.679113,-0.231266
suction,20.566576,15.674675,-0.202197
suction,20.603861,15.670296,-0.170414
suction,20.640597,15.665976,-0.135787
suction,20.677002,15.661690,-0.098578
suction,20.713283,15.657414,-0.059032
suction,20.749349,15.653158,-0.017170
suction,20.785040,15.648942,0.026941
suction,20.820542,15.644897,0.072953
suction,20.855933,15.640962,0.120668
suction,20.891171,15.637087,0.169974
suction,20.926359,15.633259,0.220633
suction,20.961405,15.629488,0.272551
suction,20.996396,15.625765,0.325493
suction,21.031469,15.622076,0.379220
suction,21.066893,15.618391,0.433451
suction,21.094615,15.615538,0.475859
pressure,19.617719,15.756459,0.0
pressure,19.621630,15.756232,0.002389
pressure,19.627333,15.755900,0.003050
pressure,19.634749,15.755466,0.001895
pressure,19.643775,15.754933,-0.001186
pressure,19.654326,15.754306,-0.006283
pressure,19.666400,15.753580,-0.013400
pressure,19.680150,15.752745,-0.022372
pressure,19.713356,15.750688,-0.044566
pressure,19.753664,15.748115,-0.071149
pressure,19.753664,15.748115,-0.071149
pressure,19.792408,15.745562,-0.095403
pressure,19.830253,15.742994,-0.118161
pressure,19.867332,15.740407,-0.139370
pressure,19.903136,15.737841,-0.158387
pressure,19.937999,15.735242,-0.174681
pressure,19.972373,15.732812,-0.188504
pressure,20.006160,15.730247,-0.200512
pressure,20.039383,15.727649,-0.210673
pressure,20.072034,15.725023,-0.218850
pressure,20.104108,15.722373,-0.224907
pressure,20.135803,15.719685,-0.228712
pressure,20.167381,15.716940,-0.230179
pressure,20.199104,15.714114,-0.229349
pressure,20.231204,15.711038,-0.226271
pressure,20.263782,15.707819,-0.221035
pressure,20.296925,15.704476,-0.213670
pressure,20.330799,15.700987,-0.204182
pressure,20.365418,15.697348,-0.192589
pressure,20.400412,15.693592,-0.178885
pressure,20.435513,15.689747,-0.162684
pressure,20.470966,15.685785,-0.143442
pressure,20.506963,15.681666,-0.121040
pressure,20.543508,15.677382,-0.095809
pressure,20.580602,15.673028,-0.067924
pressure,20.618028,15.668631,-0.037084
pressure,20.655578,15.664213,-0.003112
pressure,20.693342,15.659765,0.033758
pressure,20.731482,15.655267,0.073115
pressure,20.769811,15.650741,0.114765
pressure,20.808251,15.646274,0.158471
pressure,20.846843,15.641969,0.203962
pressure,20.885486,15.637709,0.251096
pressure,20.924270,15.633485,0.299578
pressure,20.963111,15.629306,0.349251
pressure,21.001868,15.625187,0.400009
pressure,21.040274,15.621156,0.451885
pressure,21.069852,15.618086,0.492838
