# LPT appendix p.167 (pdf_page: 180); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,17.664443,22.030995,0.0
suction,17.663537,22.030762,0.004841
suction,17.664742,22.031073,0.010605
suction,17.668080,22.031933,0.017243
suction,17.673585,22.033352,0.024677
suction,17.681305,22.035344,0.032804
suction,17.691295,22.037924,0.041500
suction,17.703614,22.041108,0.050631
suction,17.718326,22.044914,0.060059
suction,17.735487,22.049361,0.069655
suction,17.755148,22.054463,0.079308
suction,17.768036,22.057812,0.085030
suction,17.768036,22.057812,0.085030
suction,17.792032,22.064058,0.094531
suction,17.816258,22.070377,0.102680
suction,17.840813,22.076794,0.109468
suction,17.865844,22.083443,0.114779
suction,17.891374,22.090245,0.118471
suction,17.917372,22.097144,0.120384
suction,17.943718,22.104107,0.120390
suction,17.970259,22.111093,0.118354
suction,17.996848,22.118063,0.114244
suction,18.023326,22.124974,0.107986
suction,18.049541,22.131690,0.099588
suction,18.075381,22.138182,0.089123
suction,18.100831,22.144508,0.076638
suction,18.125905,22.150677,0.062141
suction,18.150692,22.156711,0.045638
suction,18.175239,22.162624,0.027079
suction,18.199505,22.168409,0.006587
suction,18.223426,22.174037,-0.015730
suction,18.247050,22.179456,-0.039841
suction,18.270412,22.184788,-0.065775
suction,18.293561,22.190047,-0.093491
suction,18.316530,22.195239,-0.122927
suction,18.339321,22.200366,-0.154001
suction,18.361913,22.205424,-0.186603
suction,18.384311,22.210414,-0.220606
suction,18.406527,22.215347,-0.255900
suction,18.428602,22.220345,-0.292425
suction,18.450570,22.225323,-0.330191
suction,18.472462,22.230286,-0.369159
suction,18.494323,22.235246,-0.409204
suction,18.516205,22.240214,-0.450122
suction,18.538100,22.245188,-0.491676
suction,18.559961,22.250158,-0.533663
suction,18.581719,22.255108,-0.575964
suction,18.596818,22.258545,-0.605602
pressure,17.664443,22.030995,0.0
pressure,17.666973,22.031648,-0.003348
pressure,17.671193,22.032736,-0.005869
pressure,17.677044,22.034245,-0.007431
pressure,17.684447,22.036155,-0.007857
pressure,17.693337,22.038451,-0.007000
pressure,17.703704,22.041131,-0.004840
pressure,17.715654,22.044223,-0.001612
pressure,17.729024,22.045354,-0.000391
pressure,17.743822,22.051523,0.006068
pressure,17.766976,22.057537,0.011781
pressure,17.789687,22.063447,0.016702
pressure,17.789687,22.063447,0.016702
pressure,17.812086,22.069288,0.020884
pressure,17.834255,22.075075,0.024413
pressure,17.856094,22.080838,0.027323
pressure,17.877459,22.086541,0.029551
pressure,17.898324,22.092092,0.030930
pressure,17.918720,22.097501,0.031275
pressure,17.938770,22.102802,0.030405
pressure,17.958624,22.108034,0.028221
pressure,17.978410,22.113238,0.024613
pressure,17.997947,22.118455,0.019581
pressure,18.018528,22.123724,0.013124
pressure,18.039082,22.129043,0.005244
pressure,18.060027,22.134333,-0.004029
pressure,18.081349,22.139671,-0.014700
pressure,18.102957,22.145034,-0.026888
pressure,18.124804,22.150407,-0.040812
pressure,18.146934,22.155800,-0.056802
pressure,18.169408,22.161225,-0.074914
pressure,18.192179,22.166669,-0.095041
pressure,18.215212,22.172121,-0.117108
pressure,18.238458,22.177488,-0.141151
pressure,18.261884,22.182845,-0.167170
pressure,18.285488,22.188215,-0.195105
pressure,18.309291,22.193605,-0.224798
pressure,18.333288,22.199011,-0.256059
pressure,18.357467,22.204430,-0.288711
pressure,18.381787,22.209853,-0.322636
pressure,18.406214,22.215276,-0.357823
pressure,18.430718,22.220824,-0.394315
pressure,18.455252,22.226384,-0.432075
pressure,18.479764,22.231942,-0.470969
pressure,18.504265,22.237503,-0.510729
pressure,18.528799,22.243075,-0.551037
pressure,18.553436,22.248674,-0.591634
pressure,18.570689,22.252598,-0.620034
