# LPT appendix p.164 (pdf_page: 177); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,15.194873,21.296166,0.0
suction,15.192670,21.295379,-0.005925
suction,15.193923,21.295827,-0.014903
suction,15.198678,21.297525,-0.026884
suction,15.207009,21.300496,-0.041784
suction,15.219018,21.304774,-0.059492
suction,15.234835,21.310397,-0.079864
suction,15.254614,21.317411,-0.102732
suction,15.278528,21.325865,-0.127904
suction,15.306773,21.335814,-0.155164
suction,15.339557,21.347311,-0.184287
suction,15.377339,21.360494,-0.215096
suction,15.377339,21.360494,-0.215096
suction,15.419928,21.375268,-0.246325
suction,15.463455,21.390275,-0.274404
suction,15.507838,21.405479,-0.299233
suction,15.552941,21.420885,-0.320820
suction,15.598762,21.436474,-0.339037
suction,15.645318,21.452169,-0.353654
suction,15.692554,21.467944,-0.364414
suction,15.740343,21.483751,-0.371071
suction,15.788514,21.499529,-0.373507
suction,15.836866,21.515209,-0.371598
suction,15.885186,21.530682,-0.365301
suction,15.933267,21.545786,-0.354625
suction,15.980930,21.560395,-0.339622
suction,16.028031,21.574990,-0.320392
suction,16.074480,21.589031,-0.297067
suction,16.120223,21.602682,-0.269781
suction,16.165246,21.615947,-0.238662
suction,16.209571,21.628841,-0.203849
suction,16.253234,21.641104,-0.165454
suction,16.296287,21.653106,-0.123588
suction,16.338779,21.664886,-0.078352
suction,16.380761,21.676461,-0.029845
suction,16.422300,21.687851,0.021825
suction,16.463439,21.699070,0.076568
suction,16.504244,21.710138,0.134266
suction,16.544767,21.721069,0.194793
suction,16.585056,21.732163,0.258048
suction,16.625172,21.743285,0.323908
suction,16.665157,21.754388,0.392248
suction,16.705057,21.765484,0.462948
suction,16.744925,21.776588,0.535729
suction,16.784818,21.787716,0.610468
suction,16.824798,21.798886,0.686939
suction,16.864915,21.810110,0.765003
suction,16.898620,21.819553,0.831510
pressure,15.194873,21.296166,0.0
pressure,15.200546,21.298191,0.003552
pressure,15.208933,21.301182,0.004545
pressure,15.219877,21.305080,0.002803
pressure,15.233164,21.309803,-0.001915
pressure,15.248590,21.315277,-0.009836
pressure,15.266058,21.321460,-0.021073
pressure,15.285701,21.328395,-0.035476
pressure,15.308032,21.336256,-0.052474
pressure,15.345593,21.349422,-0.079134
pressure,15.389259,21.364638,-0.106968
pressure,15.432490,21.379609,-0.131898
pressure,15.432490,21.379609,-0.131898
pressure,15.474900,21.394205,-0.154441
pressure,15.516372,21.408391,-0.174530
pressure,15.556988,21.422267,-0.191945
pressure,15.596685,21.435838,-0.206452
pressure,15.636063,21.449060,-0.217994
pressure,15.674506,21.461934,-0.226597
pressure,15.712269,21.474483,-0.232331
pressure,15.749479,21.486755,-0.235269
pressure,15.786308,21.498810,-0.235416
pressure,15.822955,21.510714,-0.232782
pressure,15.859634,21.522538,-0.227321
pressure,15.896552,21.534270,-0.218971
pressure,15.933888,21.545980,-0.207631
pressure,15.971786,21.557747,-0.193187
pressure,16.010337,21.569594,-0.175513
pressure,16.049593,21.581530,-0.154503
pressure,16.089569,21.593553,-0.130084
pressure,16.130243,21.605649,-0.102189
pressure,16.171579,21.617799,-0.070798
pressure,16.213525,21.630032,-0.035899
pressure,16.256032,21.641866,0.002488
pressure,16.299050,21.653874,0.044320
pressure,16.342510,21.665917,0.089548
pressure,16.386369,21.678002,0.138088
pressure,16.430564,21.690110,0.189868
pressure,16.475041,21.702223,0.244779
pressure,16.519750,21.714328,0.302700
pressure,16.564633,21.726507,0.363528
pressure,16.609647,21.738979,0.427153
pressure,16.654746,21.751496,0.493424
pressure,16.699878,21.764043,0.562167
pressure,16.744984,21.776605,0.633180
pressure,16.790004,21.789164,0.706265
pressure,16.834885,21.801706,0.781282
pressure,16.872331,21.812187,0.845488
