# LPT appendix p.147 (pdf_page: 160); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,5.473056,13.800044,0.0
suction,5.469523,13.799177,0.005729
suction,5.468323,13.798883,0.013794
suction,5.469537,13.799181,0.024116
suction,5.473290,13.800101,0.036573
suction,5.479733,13.801679,0.051019
suction,5.489018,13.803948,0.067308
suction,5.501269,13.806933,0.085322
suction,5.515539,13.810638,0.105009
suction,5.534772,13.815042,0.126428
suction,5.552902,13.819397,0.146528
suction,5.552902,13.819397,0.146528
suction,5.579050,13.825639,0.173780
suction,5.605876,13.831994,0.199706
suction,5.633443,13.838472,0.224410
suction,5.661801,13.845081,0.247888
suction,5.691013,13.851831,0.270057
suction,5.721131,13.858692,0.290691
suction,5.752169,13.865692,0.309568
suction,5.784160,13.872854,0.325481
suction,5.817127,13.880179,0.341202
suction,5.851046,13.887656,0.353480
suction,5.885841,13.895263,0.363037
suction,5.921364,13.902964,0.369608
suction,5.957405,13.910728,0.372980
suction,5.993737,13.918529,0.373016
suction,6.030085,13.926305,0.369618
suction,6.066067,13.933975,0.362800
suction,6.101331,13.941465,0.352703
suction,6.135642,13.948729,0.339525
suction,6.168872,13.955729,0.323515
suction,6.201007,13.962451,0.304905
suction,6.232074,13.968975,0.283866
suction,6.262163,13.975316,0.260559
suction,6.291371,13.981493,0.235114
suction,6.319781,13.987522,0.207668
suction,6.347477,13.993419,0.178298
suction,6.374609,13.999215,0.147053
suction,6.401316,14.004961,0.113909
suction,6.427758,14.010759,0.078819
suction,6.454089,14.016574,0.041717
suction,6.480403,14.022424,0.002585
suction,6.506762,14.028324,-0.038537
suction,6.533138,14.034268,-0.081571
suction,6.559509,14.040250,-0.126307
suction,6.585888,14.046274,-0.172518
suction,6.612296,14.052345,-0.220030
suction,6.631968,14.056892,-0.256137
pressure,5.473056,13.800044,0.0
pressure,5.477397,13.801107,-0.002693
pressure,5.483228,13.802534,-0.003789
pressure,5.490483,13.804306,-0.003225
pressure,5.499083,13.806401,-0.000924
pressure,5.508991,13.808809,0.003153
pressure,5.520275,13.811542,0.008937
pressure,5.533204,13.814664,0.016170
pressure,5.553284,13.819489,0.027149
pressure,5.585935,13.827275,0.044108
pressure,5.618165,13.834888,0.060296
pressure,5.618165,13.834888,0.060296
pressure,5.649855,13.842304,0.075893
pressure,5.680865,13.849493,0.090894
pressure,5.711136,13.856427,0.105048
pressure,5.740615,13.863092,0.118078
pressure,5.769240,13.869520,0.129731
pressure,5.796959,13.875704,0.139919
pressure,5.823759,13.881645,0.148623
pressure,5.849606,13.887339,0.155853
pressure,5.874476,13.892785,0.161669
pressure,5.898394,13.897992,0.166160
pressure,5.921436,13.902980,0.169464
pressure,5.943750,13.907789,0.171723
pressure,5.965547,13.912479,0.173049
pressure,5.987052,13.917096,0.173470
pressure,6.008541,13.921699,0.172976
pressure,6.030397,13.926371,0.171465
pressure,6.052970,13.931186,0.168781
pressure,6.076496,13.936193,0.164761
pressure,6.101103,13.941417,0.159230
pressure,6.126806,13.946860,0.152027
pressure,6.153576,13.952515,0.143044
pressure,6.181324,13.958331,0.132140
pressure,6.209954,13.964328,0.119165
pressure,6.239381,13.970513,0.103952
pressure,6.269522,13.976870,0.086413
pressure,6.300227,13.983370,0.066466
pressure,6.331358,13.989985,0.044005
pressure,6.362753,13.996680,0.018838
pressure,6.394259,14.003424,-0.009294
pressure,6.425783,14.010325,-0.040630
pressure,6.457261,14.017277,-0.075154
pressure,6.488722,14.024282,-0.112599
pressure,6.520188,14.031344,-0.152540
pressure,6.551647,14.038462,-0.194520
pressure,6.583076,14.045630,-0.238211
pressure,6.606412,14.050989,-0.271702
