# LPT appendix p.163 (pdf_page: 176); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,15.311727,18.597028,0.0
suction,15.308790,18.596312,-0.006098
suction,15.309153,18.596400,-0.015595
suction,15.312868,18.597307,-0.028441
suction,15.320028,18.599053,-0.044548
suction,15.330765,18.601665,-0.063791
suction,15.345257,18.605182,-0.086000
suction,15.363733,18.609649,-0.110957
suction,15.386483,18.615124,-0.138390
suction,15.413861,18.621676,-0.167960
suction,15.446299,18.629387,-0.199258
suction,15.484317,18.638352,-0.231791
suction,15.516309,18.645836,-0.256185
suction,15.516309,18.645836,-0.256185
suction,15.557442,18.655378,-0.283661
suction,15.599505,18.665042,-0.307386
suction,15.642352,18.674813,-0.327326
suction,15.685933,18.684667,-0.343399
suction,15.730214,18.694560,-0.355425
suction,15.775082,18.704459,-0.363188
suction,15.820345,18.714319,-0.366506
suction,15.865776,18.724087,-0.365331
suction,15.911140,18.733714,-0.359645
suction,15.956220,18.743141,-0.349517
suction,16.000843,18.752310,-0.335062
suction,16.044888,18.761215,-0.316411
suction,16.088287,18.769848,-0.293721
suction,16.131010,18.778211,-0.267143
suction,16.173062,18.786309,-0.236831
suction,16.214474,18.794156,-0.202909
suction,16.255302,18.801768,-0.165309
suction,16.295582,18.809001,-0.124734
suction,16.335374,18.816052,-0.080712
suction,16.374734,18.822942,-0.033552
suction,16.413713,18.829681,0.016647
suction,16.452359,18.836282,0.069780
suction,16.490721,18.842754,0.125730
suction,16.528835,18.849104,0.184381
suction,16.566745,18.855342,0.245596
suction,16.604493,18.861599,0.309251
suction,16.642120,18.867822,0.375220
suction,16.679654,18.873986,0.443374
suction,16.717139,18.880098,0.513541
suction,16.754606,18.886165,0.585528
suction,16.792094,18.892192,0.659115
suction,16.829649,18.898186,0.734098
suction,16.867300,18.904154,0.810331
suction,16.898673,18.909090,0.874525
pressure,15.311727,18.597028,0.0
pressure,15.316607,18.598219,0.002267
pressure,15.323822,18.599977,0.001948
pressure,15.333203,18.602258,-0.001120
pressure,15.344525,18.605005,-0.007154
pressure,15.357607,18.608170,-0.016328
pressure,15.372434,18.611746,-0.028657
pressure,15.389330,18.615807,-0.043830
pressure,15.408887,18.620488,-0.061145
pressure,15.449583,18.630164,-0.094751
pressure,15.490017,18.639689,-0.124274
pressure,15.530018,18.649026,-0.150167
pressure,15.569224,18.658095,-0.172974
pressure,15.569224,18.658095,-0.172974
pressure,15.607465,18.666860,-0.192730
pressure,15.644774,18.675364,-0.209347
pressure,15.681301,18.683626,-0.222722
pressure,15.717093,18.691641,-0.232855
pressure,15.752184,18.699422,-0.239819
pressure,15.786689,18.706399,-0.243732
pressure,15.820798,18.714417,-0.244693
pressure,15.854740,18.721726,-0.242718
pressure,15.888749,18.728979,-0.237802
pressure,15.923042,18.736219,-0.229870
pressure,15.957792,18.743467,-0.218833
pressure,15.993120,18.750734,-0.204592
pressure,16.029093,18.758038,-0.187035
pressure,16.065743,18.765381,-0.166074
pressure,16.103064,18.772756,-0.141647
pressure,16.141025,18.780151,-0.113737
pressure,16.179570,18.787551,-0.082329
pressure,16.218663,18.794943,-0.047460
pressure,16.258244,18.802306,-0.009172
pressure,16.298257,18.809477,0.032454
pressure,16.338650,18.816628,0.077331
pressure,16.379377,18.823749,0.125370
pressure,16.420388,18.830827,0.176472
pressure,16.461647,18.837856,0.230514
pressure,16.503110,18.844827,0.287368
pressure,16.544734,18.851730,0.346894
pressure,16.586480,18.858605,0.408968
pressure,16.628319,18.865545,0.473458
pressure,16.670207,18.872438,0.540209
pressure,16.712113,18.879281,0.609029
pressure,16.753998,18.886067,0.679696
pressure,16.795816,18.892788,0.752003
pressure,16.837529,18.899438,0.825797
pressure,16.872080,18.904907,0.886137
