# LPT appendix p.145 (pdf_page: 158); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,2.695141,14.432846,0.030556
suction,2.696609,14.433523,0.017093
suction,2.703456,14.436673,0.003187
suction,2.715697,14.442292,-0.011030
suction,2.733349,14.450362,-0.025339
suction,2.756441,14.460883,-0.039438
suction,2.785008,14.473766,-0.052949
suction,2.819094,14.489033,-0.065419
suction,2.858742,14.506616,-0.076340
suction,2.904007,14.526460,-0.085142
suction,2.954944,14.548498,-0.091216
suction,3.011612,14.572652,-0.093923
suction,3.016001,14.574507,-0.093971
suction,3.016001,14.574507,-0.093971
suction,3.073725,14.598685,-0.092561
suction,3.131757,14.622590,-0.087396
suction,3.189947,14.646156,-0.078559
suction,3.248138,14.669318,-0.066073
suction,3.306200,14.692024,-0.050051
suction,3.364014,14.714167,-0.030547
suction,3.421471,14.735717,-0.007625
suction,3.478493,14.756759,0.018624
suction,3.533014,14.777279,0.048121
suction,3.590980,14.797265,0.080776
suction,3.646358,14.816717,0.116520
suction,3.701114,14.835633,0.155286
suction,3.755255,14.854011,0.196988
suction,3.808775,14.871592,0.241560
suction,3.861673,14.888852,0.288954
suction,3.913972,14.905804,0.339103
suction,3.965695,14.922459,0.391961
suction,4.016865,14.938828,0.447482
suction,4.067528,14.954930,0.505612
suction,4.117719,14.970777,0.566312
suction,4.167458,14.986380,0.629564
suction,4.216813,15.001891,0.695310
suction,4.265810,15.017432,0.763541
suction,4.314506,15.033017,0.834213
suction,4.362938,15.048657,0.907299
suction,4.411159,15.064366,0.982811
suction,4.459218,15.080158,1.060684
suction,4.507159,15.096047,1.140902
suction,4.555017,15.112044,1.223441
suction,4.602860,15.128425,1.308234
suction,4.650716,15.145297,1.395230
suction,4.698645,15.162444,1.484369
suction,4.746698,15.179887,1.575613
suction,4.788324,15.195200,1.656095
pressure,2.695141,14.432846,0.030556
pressure,2.698338,14.434319,0.040522
pressure,2.706045,14.437863,0.050009
pressure,2.718250,14.443461,0.058872
pressure,2.734937,14.451086,0.066936
pressure,2.756093,14.460705,0.074084
pressure,2.781728,14.472289,0.080389
pressure,2.811879,14.485813,0.086285
pressure,2.846640,14.501269,0.092763
pressure,2.851788,14.503546,0.093786
pressure,2.899306,14.524411,0.104099
pressure,2.945928,14.544620,0.114636
pressure,2.992048,14.564357,0.125868
pressure,2.992048,14.564357,0.125868
pressure,3.037780,14.583676,0.138157
pressure,3.083273,14.602645,0.151587
pressure,3.128677,14.621331,0.166278
pressure,3.174149,14.639798,0.182296
pressure,3.219820,14.658097,0.199777
pressure,3.265810,14.676271,0.218820
pressure,3.312226,14.694357,0.239495
pressure,3.359149,14.712327,0.261937
pressure,3.406645,14.730189,0.286237
pressure,3.454766,14.748045,0.312499
pressure,3.503548,14.765897,0.340819
pressure,3.553023,14.783746,0.371263
pressure,3.603186,14.801581,0.403933
pressure,3.654041,14.819390,0.438907
pressure,3.705592,14.837165,0.476231
pressure,3.757813,14.854854,0.515976
pressure,3.810682,14.872216,0.558189
pressure,3.864178,14.889666,0.602918
pressure,3.918252,14.907186,0.650219
pressure,3.972871,14.924761,0.700124
pressure,4.028013,14.942380,0.752650
pressure,4.083613,14.960019,0.807845
pressure,4.139641,14.977666,0.865718
pressure,4.196042,14.995346,0.926304
pressure,4.252780,15.013285,0.989608
pressure,4.309801,15.031505,1.055651
pressure,4.367055,15.049993,1.124445
pressure,4.424499,15.068736,1.196053
pressure,4.482097,15.087724,1.270405
pressure,4.539780,15.106936,1.347498
pressure,4.597517,15.126557,1.427273
pressure,4.655248,15.146908,1.509682
pressure,4.712922,15.167601,1.594699
pressure,4.762657,15.185736,1.670210
