# LPT appendix p.149 (pdf_page: 162); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,5.483884,17.134516,0.0
suction,5.481210,17.133305,0.005321
suction,5.480966,17.133194,0.012825
suction,5.483213,17.134212,0.022443
suction,5.488047,17.136402,0.034074
suction,5.495580,17.139811,0.047596
suction,5.505922,17.144486,0.062889
suction,5.519159,17.150462,0.079865
suction,5.535316,17.157743,0.098498
suction,5.539410,17.159586,0.102988
suction,5.539410,17.159586,0.102988
suction,5.564354,17.170794,0.128786
suction,5.589870,17.182225,0.152729
suction,5.616096,17.193912,0.175007
suction,5.643061,17.205943,0.195786
suction,5.671102,17.218386,0.215023
suction,5.700269,17.231282,0.232571
suction,5.730458,17.244498,0.247990
suction,5.761434,17.258037,0.260933
suction,5.793280,17.271934,0.271215
suction,5.826121,17.286241,0.278620
suction,5.859822,17.300897,0.282837
suction,5.894107,17.315780,0.283631
suction,5.928644,17.330761,0.280843
suction,5.963036,17.345724,0.274406
suction,5.996780,17.360439,0.264427
suction,6.029492,17.374705,0.251201
suction,6.061046,17.388556,0.235021
suction,6.091451,17.401901,0.216146
suction,6.120871,17.414839,0.194703
suction,6.149488,17.427467,0.170791
suction,6.177398,17.439843,0.144534
suction,6.204684,17.451990,0.116065
suction,6.231323,17.463893,0.085563
suction,6.257329,17.475556,0.053230
suction,6.282822,17.487030,0.019143
suction,6.307920,17.498365,-0.016706
suction,6.332783,17.509632,-0.054345
suction,6.357564,17.520905,-0.093854
suction,6.382372,17.532259,-0.135264
suction,6.407283,17.543705,-0.178543
suction,6.432336,17.555263,-0.223629
suction,6.457533,17.566933,-0.270395
suction,6.482817,17.578691,-0.318648
suction,6.508151,17.590518,-0.368094
suction,6.533508,17.602403,-0.418451
suction,6.558881,17.614343,-0.469511
suction,6.577914,17.623331,-0.508169
pressure,5.483884,17.134516,0.0
pressure,5.487163,17.136001,-0.002305
pressure,5.491670,17.138042,-0.003427
pressure,5.497342,17.140608,-0.003292
pressure,5.504098,17.143662,-0.001815
pressure,5.511884,17.147179,0.001065
pressure,5.520723,17.151167,0.005325
pressure,5.530785,17.155703,0.010776
pressure,5.556774,17.167392,0.024742
pressure,5.587161,17.181013,0.040235
pressure,5.587161,17.181013,0.040235
pressure,5.616724,17.194219,0.054381
pressure,5.645714,17.207123,0.067525
pressure,5.674055,17.219694,0.079830
pressure,5.701535,17.231837,0.091036
pressure,5.728001,17.243423,0.100778
pressure,5.753340,17.254502,0.108688
pressure,5.777657,17.265119,0.114806
pressure,5.801187,17.275381,0.119399
pressure,5.823847,17.285251,0.122639
pressure,5.845513,17.294677,0.124559
pressure,5.866318,17.303719,0.125186
pressure,5.886539,17.312457,0.124515
pressure,5.906508,17.321157,0.122482
pressure,5.926622,17.329883,0.118987
pressure,5.947385,17.338911,0.113866
pressure,5.969178,17.348400,0.106944
pressure,5.992131,17.358410,0.098163
pressure,6.016233,17.368937,0.087511
pressure,6.041318,17.379912,0.075019
pressure,6.067207,17.391258,0.060563
pressure,6.093804,17.402934,0.043899
pressure,6.121024,17.414906,0.024776
pressure,6.148891,17.427202,0.003054
pressure,6.177391,17.439840,-0.021160
pressure,6.206405,17.452758,-0.047580
pressure,6.235812,17.465904,-0.076037
pressure,6.265456,17.479210,-0.106569
pressure,6.295181,17.492607,-0.139387
pressure,6.324879,17.506046,-0.174771
pressure,6.354474,17.519494,-0.212822
pressure,6.383927,17.532972,-0.253478
pressure,6.413237,17.546448,-0.296518
pressure,6.442459,17.559946,-0.341601
pressure,6.471631,17.573483,-0.388302
pressure,6.500781,17.587072,-0.436190
pressure,6.529914,17.600716,-0.484956
pressure,6.551741,17.610979,-0.521977
