# LPT appendix p.159 (pdf_page: 172); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,13.364055,15.425972,0.0
suction,13.360089,15.424932,0.006079
suction,13.358675,15.424562,0.014924
suction,13.359914,15.424887,0.026445
suction,13.363959,15.425947,0.040505
suction,13.370992,15.427786,0.056941
suction,13.381195,15.430446,0.075593
suction,13.394706,15.433952,0.096337
suction,13.411571,15.438302,0.119135
suction,13.431687,15.443453,0.144082
suction,13.449066,15.447871,0.164645
suction,13.449066,15.447871,0.164645
suction,13.477386,15.455004,0.196390
suction,13.506625,15.462283,0.226694
suction,13.536553,15.469644,0.255380
suction,13.567202,15.477089,0.282519
suction,13.598751,15.484653,0.308065
suction,13.631227,15.492508,0.331782
suction,13.664606,15.500504,0.353421
suction,13.699027,15.508546,0.372814
suction,13.734661,15.516654,0.389727
suction,13.771513,15.524809,0.403875
suction,13.809498,15.532966,0.414922
suction,13.848438,15.541070,0.422528
suction,13.888058,15.548738,0.426390
suction,13.927996,15.555972,0.426306
suction,13.967847,15.562815,0.422176
suction,14.007244,15.569209,0.414061
suction,14.045869,15.575120,0.402101
suction,14.083483,15.580537,0.386514
suction,14.119917,15.585427,0.367587
suction,14.155012,15.589777,0.345677
suction,14.188731,15.593741,0.321081
suction,14.221274,15.597368,0.293981
suction,14.252818,15.600695,0.264445
suction,14.283509,15.603756,0.232604
suction,14.313454,15.606575,0.198551
suction,14.342728,15.609169,0.162411
suction,14.371414,15.611619,0.124288
suction,14.399658,15.614002,0.084178
suction,14.427612,15.616249,0.042053
suction,14.455387,15.618372,-0.002083
suction,14.483061,15.620377,-0.048216
suction,14.510722,15.622272,-0.096298
suction,14.538450,15.624062,-0.146260
suction,14.566321,15.625751,-0.198036
suction,14.594409,15.627341,-0.251579
suction,14.616308,15.628503,-0.294168
pressure,13.364055,15.425972,0.0
pressure,13.368981,15.427261,-0.002741
pressure,13.375526,15.428970,-0.003592
pressure,13.383601,15.431072,-0.002471
pressure,13.393096,15.433535,0.000721
pressure,13.403946,15.436339,0.006042
pressure,13.416217,15.439495,0.013435
pressure,13.430218,15.443079,0.022623
pressure,13.451127,15.448393,0.036090
pressure,13.486479,15.457277,0.057873
pressure,13.521515,15.465957,0.078905
pressure,13.521515,15.465957,0.078905
pressure,13.555706,15.474308,0.098750
pressure,13.588977,15.482320,0.117080
pressure,13.621559,15.490157,0.133820
pressure,13.653419,15.497848,0.148822
pressure,13.684380,15.505149,0.161895
pressure,13.714414,15.512074,0.173028
pressure,13.743545,15.518642,0.182376
pressure,13.771634,15.524835,0.190039
pressure,13.798510,15.530632,0.196086
pressure,13.824167,15.536050,0.200588
pressure,13.848693,15.541122,0.203691
pressure,13.872263,15.545772,0.205573
pressure,13.895132,15.550050,0.206401
pressure,13.917725,15.554148,0.206269
pressure,13.940384,15.558140,0.205204
pressure,13.963497,15.562086,0.203084
pressure,13.987381,15.566031,0.199711
pressure,14.012277,15.569999,0.194814
pressure,14.038354,15.573998,0.188060
pressure,14.065768,15.578028,0.179117
pressure,14.094559,15.582069,0.167832
pressure,14.124527,15.586011,0.154162
pressure,14.155492,15.589835,0.138054
pressure,14.187311,15.593578,0.119320
pressure,14.219876,15.597216,0.097813
pressure,14.253112,15.600726,0.073431
pressure,14.286935,15.604087,0.046235
pressure,14.321202,15.607277,0.016360
pressure,14.355758,15.610273,-0.016209
pressure,14.390493,15.613241,-0.051587
pressure,14.425328,15.616070,-0.089806
pressure,14.460178,15.618727,-0.130836
pressure,14.494959,15.621205,-0.174581
pressure,14.529598,15.623503,-0.220912
pressure,14.564020,15.625616,-0.269741
pressure,14.590447,15.627124,-0.309168
