# LPT appendix p.166 (pdf_page: 179); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,17.677414,19.046764,0.0
suction,17.675326,19.046380,0.004258
suction,17.675086,19.046336,0.010086
suction,17.676739,19.046640,0.017435
suction,17.680351,19.047305,0.026227
suction,17.686013,19.048349,0.036357
suction,17.693830,19.049796,0.047706
suction,17.703914,19.051671,0.060143
suction,17.716379,19.054002,0.073539
suction,17.731327,19.056817,0.087777
suction,17.749822,19.060330,0.103515
suction,17.749822,19.060330,0.103515
suction,17.772899,19.064759,0.120871
suction,17.796268,19.069295,0.136380
suction,17.820202,19.073995,0.150288
suction,17.844929,19.078909,0.162556
suction,17.870563,19.084110,0.173108
suction,17.896968,19.089588,0.181662
suction,17.923908,19.095207,0.187953
suction,17.951183,19.100925,0.191805
suction,17.978578,19.106699,0.193135
suction,18.005948,19.112498,0.191908
suction,18.033157,19.118293,0.188102
suction,18.060085,19.124009,0.181809
suction,18.086618,19.129579,0.173090
suction,18.112640,19.135017,0.162047
suction,18.138117,19.140318,0.148817
suction,18.163174,19.145510,0.133387
suction,18.187953,19.150622,0.115747
suction,18.212445,19.155654,0.095967
suction,18.236657,19.160593,0.074167
suction,18.260482,19.165345,0.050466
suction,18.283870,19.169995,0.025067
suction,18.306908,19.174560,-0.002005
suction,18.329710,19.179063,-0.030826
suction,18.352366,19.183523,-0.061341
suction,18.374897,19.187943,-0.093481
suction,18.397297,19.192323,-0.127157
suction,18.419571,19.196665,-0.162250
suction,18.441739,19.201034,-0.198674
suction,18.463842,19.205389,-0.236368
suction,18.485833,19.209733,-0.275264
suction,18.507916,19.214070,-0.315236
suction,18.529924,19.218404,-0.356110
suction,18.551931,19.222736,-0.397671
suction,18.573926,19.227066,-0.439738
suction,18.595882,19.231386,-0.482193
suction,18.611173,19.234395,-0.512013
pressure,17.677414,19.046764,0.0
pressure,17.680359,19.047306,-0.002172
pressure,17.684485,19.048067,-0.003257
pressure,17.689720,19.049034,-0.003173
pressure,17.695974,19.050194,-0.001815
pressure,17.703175,19.051533,0.000899
pressure,17.711328,19.053056,0.004964
pressure,17.720588,19.054792,0.010202
pressure,17.738261,19.058130,0.020184
pressure,17.762926,19.062838,0.033287
pressure,17.786681,19.067428,0.044662
pressure,17.786681,19.067428,0.044662
pressure,17.810096,19.072004,0.054923
pressure,17.833219,19.076575,0.064486
pressure,17.855776,19.081083,0.073333
pressure,17.877542,19.085456,0.081227
pressure,17.898399,19.089886,0.087673
pressure,17.918486,19.094074,0.092380
pressure,17.938037,19.098166,0.095310
pressure,17.957255,19.102203,0.096552
pressure,17.976351,19.106229,0.096234
pressure,17.995473,19.110275,0.094493
pressure,18.014756,19.114371,0.091439
pressure,18.034320,19.118541,0.087049
pressure,18.054279,19.122787,0.081211
pressure,18.074749,19.127090,0.074182
pressure,18.095763,19.131492,0.065602
pressure,18.117198,19.135967,0.055534
pressure,18.138910,19.140483,0.043682
pressure,18.160910,19.145042,0.029618
pressure,18.183190,19.149641,0.013031
pressure,18.205857,19.154303,-0.006090
pressure,18.228960,19.159035,-0.027477
pressure,18.252414,19.163738,-0.050707
pressure,18.276104,19.168453,-0.075667
pressure,18.299938,19.173181,-0.102523
pressure,18.323900,19.177917,-0.131302
pressure,18.347992,19.182663,-0.161913
pressure,18.372210,19.187416,-0.194196
pressure,18.396534,19.192174,-0.227981
pressure,18.420923,19.196932,-0.263188
pressure,18.445363,19.201748,-0.299760
pressure,18.469832,19.206569,-0.337600
pressure,18.494316,19.211392,-0.376541
pressure,18.518800,19.216213,-0.416360
pressure,18.543297,19.221037,-0.456805
pressure,18.567833,19.225866,-0.497680
pressure,18.584988,19.229243,-0.526395
