# LPT appendix p.144 (pdf_page: 157); inches; Z from the HPT exit plane, R radius, RTHETA tangential
surface,z_in,r_in,rtheta_in
suction,2.694786,13.122117,0.030561
suction,2.696492,13.122778,0.016558
suction,2.703018,13.125302,0.002359
suction,2.714366,13.129676,-0.011913
suction,2.730552,13.135881,-0.026059
suction,2.751585,13.143883,-0.039810
suction,2.777482,13.153642,-0.052830
suction,2.808266,13.165107,-0.064734
suction,2.843956,13.178217,-0.075092
suction,2.884575,13.192898,-0.083455
suction,2.930147,13.209066,-0.089362
suction,2.980693,13.226624,-0.092366
suction,3.036236,13.245463,-0.092053
suction,3.073814,13.257939,-0.089972
suction,3.073814,13.257939,-0.089972
suction,3.130784,13.276438,-0.084117
suction,3.187758,13.294437,-0.075142
suction,3.244626,13.311903,-0.063115
suction,3.301316,13.328817,-0.048166
suction,3.357746,13.345099,-0.030356
suction,3.413857,13.360700,-0.009794
suction,3.469594,13.375772,0.013460
suction,3.524908,13.390312,0.039377
suction,3.579780,13.404324,0.067763
suction,3.634173,13.417810,0.098678
suction,3.688089,13.430779,0.131991
suction,3.741512,13.443240,0.167661
suction,3.794449,13.455096,0.205622
suction,3.846904,13.466571,0.245827
suction,3.898903,13.477725,0.288205
suction,3.950445,13.488562,0.332736
suction,4.001573,13.499098,0.379347
suction,4.052293,13.509339,0.428027
suction,4.102650,13.519299,0.478724
suction,4.152678,13.528989,0.531400
suction,4.202398,13.538452,0.586041
suction,4.251360,13.547836,0.642604
suction,4.301093,13.557159,0.701074
suction,4.350142,13.566429,0.761415
suction,4.399054,13.575655,0.823624
suction,4.447862,13.584844,0.887682
suction,4.496606,13.594004,0.953568
suction,4.545331,13.603142,1.021258
suction,4.594090,13.612388,1.090703
suction,4.642917,13.621965,1.161862
suction,4.691873,13.631642,1.234685
suction,4.741005,13.641427,1.309137
suction,4.782538,13.649756,1.373048
pressure,2.694786,13.122117,0.030561
pressure,2.697191,13.123049,0.040420
pressure,2.703402,13.125450,0.050087
pressure,2.713414,13.129310,0.059448
pressure,2.727224,13.134609,0.068494
pressure,2.744829,13.141320,0.077134
pressure,2.766226,13.149413,0.085330
pressure,2.791417,13.158850,0.093110
pressure,2.820410,13.169590,0.100619
pressure,2.853220,13.181587,0.108169
pressure,2.897383,13.197474,0.117819
pressure,2.944431,13.214067,0.127954
pressure,2.991263,13.230245,0.138285
pressure,3.037883,13.246015,0.149255
pressure,3.037883,13.246015,0.149255
pressure,3.084424,13.261422,0.161003
pressure,3.131018,13.276513,0.173654
pressure,3.177773,13.291319,0.187395
pressure,3.224764,13.305859,0.202235
pressure,3.272073,13.320154,0.218286
pressure,3.319756,13.334212,0.235653
pressure,3.367871,13.347946,0.254404
pressure,3.416465,13.361415,0.274397
pressure,3.465558,13.374695,0.296031
pressure,3.515188,13.387787,0.319647
pressure,3.565352,13.400680,0.344633
pressure,3.616064,13.413365,0.371337
pressure,3.667320,13.425830,0.399821
pressure,3.719114,13.438063,0.430134
pressure,3.771422,13.450063,0.462344
pressure,3.824244,13.461642,0.496469
pressure,3.877536,13.473168,0.532577
pressure,3.931292,13.484560,0.570681
pressure,3.985469,13.495803,0.610832
pressure,4.040031,13.506883,0.653068
pressure,4.094959,13.517791,0.697403
pressure,4.150202,13.528514,0.743880
pressure,4.205728,13.539084,0.792516
pressure,4.261496,13.549662,0.843336
pressure,4.317459,13.560254,0.896364
pressure,4.373582,13.570853,0.951622
pressure,4.429826,13.581451,1.009148
pressure,4.486146,13.592040,1.068936
pressure,4.542489,13.602610,1.130990
pressure,4.598818,13.613312,1.195277
pressure,4.655012,13.624361,1.261774
pressure,4.711205,13.635483,1.330465
pressure,4.758918,13.644892,1.389989
