alpha_deg,cl,cd,upper_separated,lower_separated
-6.0,-0.20915752733201667,0.00310337297685027,True,True
-5.0,-0.08784384653375246,0.0029226092674725958,True,True
-4.0,0.03349659235112816,0.0028092738000030726,True,True
-3.0,0.15482682784949,0.002799133970493195,True,True
-2.0,0.2761099015962477,0.0028440655730741877,True,True
-1.0,0.39730886959224265,0.002947171457765086,False,False
0.0,0.5183868134577422,0.0029482887330742544,False,False
1.0,0.6393068516781366,0.003502120743035529,True,False
2.0,0.7600321508384056,0.0033688379864735053,True,False
3.0,0.880525936842932,0.0034069413505506234,True,True
4.0,1.0007515061172503,0.002323308059146347,False,True
5.0,1.1206722367883073,0.0023032405077688524,False,True
6.0,1.240251599839843,0.002285160040104918,False,True
7.0,1.3594531702394808,0.00225192888985594,False,True
8.0,1.4782406380341446,0.002201532135274728,False,True
9.0,1.5965778194104248,0.0036188765861115088,True,True
10.0,1.7144286677165155,0.00392856879406011,True,True
11.0,1.831757284442377,0.004583624793022413,True,True
12.0,1.9485279301547658,0.00533903010614801,True,True
