alpha_deg,cl,cd,upper_separated,lower_separated
-6.0,-0.7246038990687751,0.0029653656473882656,True,True
-5.0,-0.6041741076732269,0.002784592267924341,True,False
-4.0,-0.4835602789917158,0.00284345568326882,True,False
-3.0,-0.36279915316486994,0.0026579407211585774,False,False
-2.0,-0.2419275152014559,0.0027472050825313255,False,False
-1.0,-0.12098218377330701,0.0028027270659211623,False,False
0.0,-2.611647681805729e-17,0.0028205046392376907,False,False
1.0,0.12098218377330705,0.002802727065921162,False,False
2.0,0.24192751520145592,0.002747205082531322,False,False
3.0,0.36279915316487016,0.0026579407211585818,False,False
4.0,0.48356027899171583,0.0028434556832688225,False,True
5.0,0.6041741076732269,0.0027845922679243414,False,True
6.0,0.7246038990687751,0.0029653656473882664,True,True
7.0,0.8448129690972712,0.003104285909572589,True,True
8.0,0.9647647009114932,0.0034100766375899996,True,True
9.0,1.084422556051932,0.003828357981794837,True,True
10.0,1.2037500855767602,0.004413678735797181,True,True
11.0,1.322710941164533,0.005096446050353923,True,True
12.0,1.4412688861862382,0.005869959314790077,True,True
